person,current_company,past_company1,past_company2,past_company3,education,linkedin_group1,linkedin_group2,linkedin_group3,hobby1,hobby2,hobby3
Rich Aten,Lexus,TigerGraph,BMW,,Hochschule Esslingen,Cloud,Graph Databases,Automotive,Aeromodeling,,
Karri Margulies,Opel,Porsche,Tesla,,Universität zu Köln,Analytics,TigerGraph,GSQL,Running,Robotics,
Rachele Woller,Tesla,,,,Leibniz-Fachhochschule,Kubernetes,Retail,,Relaxing,Bowling,Robotics
Mei Kurian,Audi,Lexus,TigerGraph,,Technische Hochschule Mittelhessen,TigerGraph,,,Scuba Diving,Robotics,
Alyse Freytag,Toyota,Lexus,Volkswagen,,Hochschule für angewandte Wissenschaften München,Analytics,,,Golf,Playing music,Traveling
Mervin Nowosielski,Seat,Opel,BMW,Mercedes,Heinrich-Heine-Universität Düsseldorf,NoSQL,Industry trends,Security,Football,Relaxing,
Kiana Dilella,Porsche,Lexus,TigerGraph,Microsoft,Universität Augsburg,GSQL,,,Snowboarding,Geocaching,
Ha Silvi,Audi,Lexus,,,Universität Konstanz,Security,,,Baseball,Dancing,
Maximo Muscott,Audi,Lexus,Volkswagen,Tesla,Fachhochschule Aachen,NoSQL,,,Baseball,Astronomy,Sailing
Elba Wenger,Toyota,Skoda,Mercedes,,Universität Passau,Cloud,Future trends,,Golf,Calligraphy,
Kimi Marteney,Audi,,,,Universität Leipzig,Graph Databases,Kubernetes,Automotive,Brewing Beer,,
Brittany Petronio,Toyota,,,,Universität Freiburg,Future trends,,,Dog walking,Aeromodeling,Relaxing
Josef Castellaneta,BMW,Audi,Skoda,,Hochschule Landshut,Automotive,,,Photography,Skiing,Bicycling
Sumiko Littrel,Toyota,Seat,Microsoft,,Hochschule Neu-Ulm,AI,,,Cooking,Astronomy,Stamp Collecting
Clayton Spittle,Audi,Lexus,,,Universität Freiburg,AI,Industry trends,Future trends,Snowboarding,Golf,Relaxing
Karlene Gutgesell,Seat,Opel,BMW,Tesla,Technische Universität München,Kubernetes,Airline,Big Data,Skateboarding,Scuba Diving,
Tandy Hanscom,Seat,TigerGraph,BMW,Tesla,Brand Academy - Hochschule für Design und Kommunikation,Kubernetes,,,Hiking,Kayaking,
Dianne Sawatzke,BMW,Toyota,TigerGraph,Skoda,Universität Konstanz,Airline,,,Chilling,,
Carolann Patellis,Audi,Lexus,Volkswagen,Microsoft,Hochschule der Bundesagentur für Arbeit,Future trends,,,Kite Boarding,Baseball,Aeromodeling
Chanda Kotch,Mercedes,Audi,Porsche,Volkswagen,Leibniz-Fachhochschule,Cloud,Automotive,Retail,Mountain Biking,,
Janell Hanavan,Toyota,Opel,Tesla,,Hochschule Landshut,Analytics,NoSQL,,Photography,Baseball,Bicycling
Han Soulard,BMW,Porsche,Skoda,,Universität Konstanz,Graph Databases,Airline,GSQL,Photography,,
Bobbi Batch,Toyota,Microsoft,,,Fachhochschule Dortmund,Cloud,Automotive,,Skateboarding,,
Mistie Mckasson,Tesla,,,,Brand Academy - Hochschule für Design und Kommunikation,Cloud,,,Relaxing,Skiing,Dancing
Michal Burgie,Skoda,,,,Philipps-Universität Marburg,NoSQL,,,Running,Reading,
Harland Niedermayer,Microsoft,,,,Universität Leipzig,AI,Automotive,,Aeromodeling,Badminton,
Risa Sienicki,Skoda,BMW,,,Hochschule Landshut,Industry trends,Security,,Hunting,,
Ralph Biddleman,Toyota,Skoda,BMW,Tesla,Universität Ulm,Analytics,Airline,,Painting,Playing music,
Jerry Ewer,Porsche,,,,Hochschule Macromedia,Graph Databases,Security,,Marathon,TV watching,
Maurice Levecke,Seat,Volkswagen,,,Friedrich-Alexander-Universität Erlangen-Nürnberg,Security,,,Football,,
Brittni Antill,Toyota,,,,Munich Business School,AI,Kubernetes,,Photography,Reading,
Monica Ofsak,Opel,,,,Hochschule Fresenius,Analytics,Kubernetes,,Dancing,Car Racing,
Tiera Billotti,Toyota,Opel,Seat,Skoda,Universität Hamburg,Big Data,AI,,Football,Aeromodeling,
Elke Veteto,TigerGraph,Tesla,,,Heinrich-Heine-Universität Düsseldorf,Big Data,TigerGraph,,Darts,Astronomy,Robotics
Larae Ragsdale,Opel,Tesla,,,Hochschule Neu-Ulm,AI,TigerGraph,,Parachuting,,
Brunilda Prochazka,Lexus,,,,Universität Passau,Kubernetes,,,Playing music,Meditation,Car Racing
Shawanda Norales,Tesla,Opel,BMW,Mercedes,Technische Universität Kaiserslautern,Future trends,,,Marathon,,
Tifany Wasinger,Seat,BMW,Microsoft,,Universität Konstanz,AI,Automotive,GSQL,Paragliding,Parachuting,
Branda Stacey,Tesla,Lexus,Porsche,Mercedes,Hochschule Esslingen,AI,Security,,Paragliding,Golf,Cooking
Elnora Stthomas,TigerGraph,Mercedes,,,Hochschule der Bundesagentur für Arbeit,Big Data,Future trends,,Stamp Collecting,Playing music,Traveling
Azucena Pote,Opel,BMW,,,Frankfurt University of Applied Sciences,Kubernetes,Security,,Stamp Collecting,,
Kiera Luckman,Opel,Porsche,Tesla,,Hochschule Rosenheim,Graph Databases,TigerGraph,Kubernetes,Hiking,Kayaking,
Ricki Scozzari,Porsche,TigerGraph,Mercedes,,Technische Universität Braunschweig,AI,Future trends,Automotive,Paragliding,Golf,Skiing
Sumiko Shrout,Opel,Tesla,,,Universität Freiburg,Industry trends,Automotive,,Chilling,Running,
Waylon Tedeschi,Audi,,,,Universität Passau,Cloud,Big Data,Future trends,Couch potatoing,,
Judy Higashi,Volkswagen,,,,Universität Stuttgart,NoSQL,,,Couch potatoing,Fencing,Aeromodeling
Maira Calzone,BMW,Tesla,,,Beuth Hochschule für Technik Berlin,Security,,,Train Spotting,Car Racing,
Deb Sukut,Lexus,TigerGraph,,,Universität Ulm,NoSQL,Security,Automotive,Brewing Beer,Skiing,Calligraphy
Shanda Pegler,BMW,,,,Universität Leipzig,Analytics,Security,,Marathon,,
Tess Eychaner,Mercedes,,,,Universität Konstanz,Airline,,,Brewing Beer,Basketball,Traveling
Murray Mattioli,BMW,Tesla,,,Frankfurt University of Applied Sciences,NoSQL,AI,GSQL,Hiking,Reading,Traveling
Darleen Sillery,Opel,,,,Universität Freiburg,Cloud,TigerGraph,,Paragliding,Snowboarding,Martial Arts
Billie Kuruvilla,Skoda,,,,Universität zu Lübeck,Airline,Future trends,,Photography,Skateboarding,
Rachell Barrigan,Toyota,Skoda,,,Munich Business School,AI,Industry trends,TigerGraph,Darts,Football,
Marquis Rentschler,Seat,TigerGraph,Tesla,,Hochschule für angewandte Wissenschaften München,Retail,GSQL,,Kite Boarding,Skiing,Hunting
Collene Mccolley,Audi,BMW,,,Universität München,Retail,,,Darts,,
Lissa Diga,Toyota,Lexus,BMW,Tesla,Universität Passau,NoSQL,Kubernetes,Airline,Meditation,,
Corrie Martone,BMW,Skoda,Tesla,,Hochschule Fresenius,Kubernetes,,,Playing music,,
Randell Dibrino,Microsoft,,,,Goethe-Universität Frankfurt am Main,NoSQL,Big Data,Automotive,Skateboarding,,
Angel Dyrstad,Audi,Porsche,Mercedes,,Technische Hochschule Mittelhessen,NoSQL,,,Running,,
Collene Scheiern,Toyota,Opel,Porsche,Volkswagen,FernUniversität in Hagen,Analytics,Kubernetes,Future trends,Kite Boarding,Relaxing,Horse riding
Marcie Balette,Opel,Skoda,,,Friedrich-Alexander-Universität Erlangen-Nürnberg,Airline,Automotive,,Electronics,Fencing,
Inocencia Warrilow,Porsche,,,,Hochschule Rosenheim,AI,Future trends,,Photography,Meditation,Tennis
Delpha Grogan,TigerGraph,Audi,Volkswagen,Skoda,Universität Freiburg,NoSQL,Security,Analytics,Paragliding,,
Hannah Shortino,Microsoft,,,,Fachhochschule Dortmund,AI,,,Fishing,Fencing,
Carlotta Silago,Tesla,,,,Universität Freiburg,Automotive,GSQL,,Photography,,
Mellisa Cawthorne,Toyota,Volkswagen,,,Friedrich-Alexander-Universität Erlangen-Nürnberg,Analytics,Kubernetes,GSQL,Kite Boarding,Baseball,
Corey Mittag,BMW,Seat,Opel,,Philipps-Universität Marburg,Kubernetes,,,Darts,Skiing,Hunting
Bibi Padalecki,Volkswagen,Microsoft,,,Hochschule Neu-Ulm,Big Data,Future trends,,Train Spotting,Kayaking,Mountain Biking
Isaiah Henk,Seat,Volkswagen,Microsoft,,Technische Hochschule Mittelhessen,NoSQL,Big Data,,Horse riding,,
John Favilla,Toyota,Skoda,,,FernUniversität in Hagen,AI,Future trends,,Mountain Biking,Basketball,Relaxing
Marjory Rodarte,Lexus,,,,Universität der Bundeswehr München,Cloud,Airline,,Badminton,,
Cordelia Montoya,Tesla,Toyota,Mercedes,,Universität Passau,Industry trends,GSQL,,Robotics,,
Norene Chalupa,Opel,,,,Technische Universität Berlin,Kubernetes,Future trends,GSQL,Marathon,,
Joane Clance,Porsche,Skoda,,,Munich Business School,Analytics,Future trends,,Bicycling,Stamp Collecting,
Pete Mcquaig,TigerGraph,BMW,Microsoft,,Technische Universität Berlin,Analytics,Big Data,Kubernetes,Martial Arts,Horse riding,
Anja Kilroy,BMW,Tesla,,,Goethe-Universität Frankfurt am Main,NoSQL,,,Running,Geocaching,Brewing Beer
Lala Erspamer,Opel,TigerGraph,Skoda,Tesla,Universität Freiburg,Future trends,GSQL,Retail,Rafting,,
Aileen Inniss,Mercedes,,,,Technische Universität Kaiserslautern,Big Data,Automotive,Retail,Geocaching,,
Fermina Barrom,Toyota,Seat,Microsoft,Mercedes,Munich Business School,NoSQL,AI,,Motorcycles,Bowling,Brewing Beer
Sheena Draa,Opel,,,,Philipps-Universität Marburg,TigerGraph,Future trends,Automotive,Basketball,Calligraphy,Badminton
Roger Irle,Audi,Mercedes,,,Universität Freiburg,Analytics,Future trends,Automotive,Playing music,,
Cheree Cirelli,Opel,TigerGraph,Skoda,Microsoft,Philipps-Universität Marburg,Graph Databases,Industry trends,,Relaxing,Bicycling,
Desiree Seebaum,Seat,Lexus,Skoda,Tesla,Hochschule Landshut,NoSQL,Automotive,,Relaxing,Sailing,Robotics
Amberly Manjarres,Lexus,,,,Brand Academy - Hochschule für Design und Kommunikation,Airline,,,Skiing,Cooking,
Dortha Orazine,Seat,Porsche,Opel,Microsoft,Universität Regensburg,Future trends,,,Paragliding,Baseball,Aeromodeling
Yuki Risberg,Audi,,,,Hochschule Macromedia,TigerGraph,Security,GSQL,Skateboarding,,
Laurinda Gerson,BMW,Mercedes,,,Hochschule der Bundesagentur für Arbeit,Future trends,Security,,Couch potatoing,Dog walking,Basketball
Alvaro Swinderman,Seat,Mercedes,,,Universität der Bundeswehr München,Security,GSQL,,Skiing,Chess,Robotics
Camelia Paravati,BMW,,,,Universität Regensburg,NoSQL,Automotive,Security,Aeromodeling,,
Caridad Rodeigues,Lexus,TigerGraph,Microsoft,Tesla,Hochschule der Bundesagentur für Arbeit,NoSQL,,,Dog walking,Reading,Relaxing
Colby Hilb,Lexus,TigerGraph,BMW,,Johannes Gutenberg-Universität Mainz,Airline,,,Photography,Hunting,Brewing Beer
Simone Hearon,TigerGraph,,,,Universität der Bundeswehr München,NoSQL,Security,Cloud,Painting,,
Lorina Wiggin,Toyota,Opel,Volkswagen,Tesla,Universität Leipzig,Cloud,Retail,GSQL,Kite Boarding,Motorcycles,Martial Arts
Hipolito Tenzer,Audi,Opel,Mercedes,,Universität zu Lübeck,Big Data,Kubernetes,Retail,Car Racing,,
Mammie Steeber,Opel,Skoda,Mercedes,,Universität zu Lübeck,Analytics,AI,TigerGraph,Painting,TV watching,
Pamila Wirfs,Opel,Porsche,TigerGraph,BMW,Hochschule Landshut,Future trends,,,Hiking,Traveling,
Lashandra Lotti,Seat,Porsche,BMW,Skoda,Universität Ulm,Kubernetes,,,Motorcycles,Sailing,Car Racing
Phyllis Dudzic,Opel,Skoda,Microsoft,,Universität Hamburg,NoSQL,,,Geocaching,Badminton,
Richelle Dody,Toyota,Microsoft,Mercedes,,Technische Universität München,GSQL,,,Dog walking,Meditation,Aeromodeling
Jamaal Warstler,Lexus,,,,Technische Universität Kaiserslautern,Analytics,Retail,,Scuba Diving,,
Weston Shiels,BMW,Microsoft,,,Technische Hochschule Mittelhessen,AI,,,Kite Boarding,Skateboarding,
Debby Borom,Lexus,Porsche,Mercedes,,Hochschule Neu-Ulm,Analytics,,,Couch potatoing,Meditation,Parachuting
Mathew Mutschelknaus,Skoda,,,,Fachhochschule Aachen,Graph Databases,Big Data,,Geocaching,Aeromodeling,Hunting
Ligia Poree,Audi,TigerGraph,Tesla,,Hochschule Esslingen,Kubernetes,Security,,Gardening,Badminton,
Evalyn Bouman,Toyota,Skoda,Tesla,,Universität Konstanz,Analytics,Automotive,,Dog walking,Stamp Collecting,Calligraphy
Halley Nicolaides,Porsche,Tesla,,,Technische Universität München,NoSQL,Kubernetes,Industry trends,Bicycling,Robotics,
William Rybarczyk,Lexus,TigerGraph,Tesla,,Universität zu Köln,Retail,GSQL,,Meditation,Aeromodeling,
Santa Rykiel,Audi,Volkswagen,,,Brand Academy - Hochschule für Design und Kommunikation,Airline,Retail,,Geocaching,Marathon,
Zita Myint,Seat,Microsoft,,,Beuth Hochschule für Technik Berlin,GSQL,,,Stamp Collecting,Horse riding,
Donna Manney,Volkswagen,,,,Philipps-Universität Marburg,Graph Databases,,,Baseball,,
Moira Ioli,TigerGraph,BMW,Mercedes,,FernUniversität in Hagen,Cloud,Industry trends,NoSQL,Basketball,,
Providencia Windly,Volkswagen,Tesla,,,Heinrich-Heine-Universität Düsseldorf,Big Data,TigerGraph,,Cooking,Skateboarding,Calligraphy
Doloris Fenceroy,Audi,Lexus,Volkswagen,Tesla,Zeppelin University,Analytics,AI,Airline,Hiking,Paragliding,Hunting
Lorenzo Poux,Audi,Lexus,Skoda,Mercedes,Universität Regensburg,Big Data,Industry trends,TigerGraph,Basketball,Chess,TV watching
Caryn Ancalade,Toyota,Lexus,,,Universität Konstanz,Kubernetes,Automotive,Big Data,Hiking,,
Ryan Rary,Mercedes,,,,Universität zu Lübeck,AI,Graph Databases,Kubernetes,Football,Bicycling,Hunting
Nieves Vanalstin,Microsoft,,,,Hochschule Esslingen,Industry trends,GSQL,,Dancing,Scuba Diving,
Myrna Gainor,Toyota,Seat,Lexus,,Technische Universität München,Kubernetes,Industry trends,,Scuba Diving,,
Maryanna Mckouen,Opel,Volkswagen,Microsoft,,Hochschule der Bundesagentur für Arbeit,AI,TigerGraph,,Golf,,
Aracely Mccash,Opel,Audi,,,FernUniversität in Hagen,Airline,Future trends,,Darts,,
Setsuko Ranni,Opel,BMW,,,Universität der Bundeswehr München,Cloud,Industry trends,,Darts,Horse riding,
Hedy Crupper,TigerGraph,,,,Universität Leipzig,AI,Airline,,Football,Snowboarding,Motorcycles
Rosalind Lweis,Toyota,Seat,,,Technische Universität Kaiserslautern,GSQL,,,Baseball,Martial Arts,Scuba Diving
Page Fincel,BMW,Toyota,Skoda,,Friedrich-Alexander-Universität Erlangen-Nürnberg,Graph Databases,,,Fishing,Train Spotting,Calligraphy
Amos Pritts,TigerGraph,Porsche,Volkswagen,BMW,Technische Hochschule Mittelhessen,Cloud,Kubernetes,Graph Databases,Reading,Hunting,
Drew Arons,Microsoft,,,,Universität der Bundeswehr München,AI,Industry trends,Kubernetes,Train Spotting,Martial Arts,Chess
Melvin Caballes,Microsoft,BMW,Tesla,,Hochschule Esslingen,TigerGraph,,,Running,Snowboarding,Calligraphy
Damaris Queen,Seat,Porsche,,,Hochschule Neu-Ulm,Kubernetes,Airline,Future trends,Hiking,Gardening,Hunting
Nestor Fleischner,Audi,TigerGraph,Skoda,Microsoft,Beuth Hochschule für Technik Berlin,NoSQL,AI,,Dancing,,
Linette Perkey,Mercedes,Skoda,BMW,Microsoft,Munich Business School,Airline,Retail,,Dog walking,,
Dara Goupil,Skoda,Lexus,BMW,Mercedes,Hochschule Macromedia,Industry trends,,,Traveling,,
Phoebe Strowe,Toyota,Porsche,Skoda,,Hochschule für angewandte Wissenschaften München,Analytics,,,Cooking,,
Martin Ayoub,BMW,Mercedes,,,Technische Universität Berlin,Cloud,Airline,,Kite Boarding,,
Sandy Hence,Tesla,Seat,Volkswagen,Mercedes,Goethe-Universität Frankfurt am Main,AI,Airline,,Brewing Beer,Cooking,Gardening
Joanna Mcclave,Toyota,Seat,Volkswagen,BMW,Johannes Gutenberg-Universität Mainz,AI,TigerGraph,,Bowling,Basketball,Stamp Collecting
Azucena Eade,Toyota,Porsche,BMW,,Technische Universität München,Cloud,Big Data,,Martial Arts,Bicycling,Chess
Shoshana Lady,Toyota,Volkswagen,Skoda,Microsoft,Leibniz-Fachhochschule,Future trends,,,Reading,,
Gayle Jahnke,Porsche,,,,Universität Passau,NoSQL,Industry trends,Security,Paragliding,,
Derek Tollin,Lexus,Volkswagen,Mercedes,,Universität zu Lübeck,Airline,Security,,Reading,,
Lia Schow,Toyota,,,,Universität der Bundeswehr München,Kubernetes,,,Motorcycles,Chess,
Monserrate Wycoff,Porsche,Volkswagen,TigerGraph,Microsoft,Universität München,NoSQL,Automotive,GSQL,Golf,Electronics,
Merna Casassa,TigerGraph,BMW,Mercedes,,Goethe-Universität Frankfurt am Main,Airline,,,Fencing,Kayaking,
Carletta Alas,Mercedes,,,,Universität zu Köln,Cloud,Kubernetes,Future trends,Kayaking,TV watching,
Vilma Edenholm,Mercedes,,,,Hochschule Landshut,Kubernetes,,,Sailing,,
Don Pajtas,Audi,,,,Beuth Hochschule für Technik Berlin,Kubernetes,Industry trends,TigerGraph,Mountain Biking,,
Karyl Ainge,Seat,Microsoft,Tesla,,Hochschule der Bundesagentur für Arbeit,Analytics,Big Data,Future trends,Skiing,,
Catherina Trigg,Tesla,Volkswagen,Mercedes,,Hochschule Macromedia,Big Data,,,Skiing,Bicycling,Kayaking
Elwood Lebron,Opel,BMW,,,Universität Würzburg,Big Data,TigerGraph,GSQL,Calligraphy,,
Natosha Omohundro,Seat,Lexus,TigerGraph,Audi,Technische Universität Kaiserslautern,NoSQL,Kubernetes,Security,Photography,,
Elfreda Sienkiewicz,Tesla,,,,Universität zu Lübeck,AI,,,Geocaching,Skateboarding,
Rich Alnas,Toyota,Volkswagen,Porsche,Skoda,Universität zu Köln,Graph Databases,,,Tennis,,
Kesha Zorich,Audi,Tesla,,,Hochschule Rosenheim,TigerGraph,,,Skiing,Painting,Marathon
Reta Tanoue,Toyota,Porsche,BMW,Tesla,FernUniversität in Hagen,Cloud,GSQL,,Running,Tennis,Painting
Concetta Pagnello,Seat,Audi,Tesla,,Universität Freiburg,Analytics,Security,GSQL,Martial Arts,Playing music,
Johnnie Mossor,TigerGraph,BMW,,,Frankfurt University of Applied Sciences,AI,TigerGraph,Future trends,Kite Boarding,Golf,Traveling
Robbyn Scheidel,BMW,,,,Universität Stuttgart,Automotive,,,Gardening,Hunting,Marathon
Terra Mastromarino,Volkswagen,Porsche,TigerGraph,,Hochschule der Bundesagentur für Arbeit,Security,,,Sailing,,
Tambra Tynan,Audi,Porsche,BMW,Mercedes,Technische Universität München,Security,,,Relaxing,Mountain Biking,TV watching
Valentine Gierke,Lexus,,,,Hochschule der Bundesagentur für Arbeit,Analytics,Kubernetes,Airline,Motorcycles,,
Mana Sealey,BMW,Microsoft,,,Hochschule der Bundesagentur für Arbeit,Retail,,,Train Spotting,Parachuting,Dog walking
Francene Serratos,Seat,Audi,Skoda,,Universität Ulm,Analytics,Kubernetes,,Stamp Collecting,Scuba Diving,Sailing
Luciana Schlembach,Seat,,,,Goethe-Universität Frankfurt am Main,Security,,,Chilling,Golf,Aeromodeling
Celinda Hean,Opel,Porsche,Mercedes,,Johannes Gutenberg-Universität Mainz,Future trends,Automotive,,Brewing Beer,Parachuting,Traveling
Stacy Criss,Volkswagen,Porsche,Mercedes,,Hochschule Fresenius,Graph Databases,,,Mountain Biking,,
Lenna Ashby,Toyota,Mercedes,,,Technische Universität Braunschweig,Cloud,Security,NoSQL,Football,,
Dalton Koll,Mercedes,Audi,Lexus,Tesla,Universität Regensburg,Cloud,Graph Databases,Future trends,Calligraphy,,
Keiko Vaccarella,Opel,Skoda,,,Universität Augsburg,Analytics,AI,GSQL,Train Spotting,Sailing,
Lovella Mcmillin,Toyota,Opel,Skoda,Tesla,Technische Universität Berlin,Future trends,,,Reading,,
Ola Perina,Opel,Porsche,Volkswagen,,Friedrich-Alexander-Universität Erlangen-Nürnberg,GSQL,,,Skiing,,
Cecila Cost,Toyota,,,,Hochschule der Bundesagentur für Arbeit,Kubernetes,Graph Databases,,Relaxing,Dancing,Parachuting
Seth Elhassan,Toyota,Porsche,Volkswagen,Skoda,Universität München,Security,GSQL,,Brewing Beer,Electronics,Geocaching
Alesia Morren,Opel,Porsche,Volkswagen,,Universität Erfurt,Graph Databases,,,Photography,TV watching,
Anjelica Stottlemyer,TigerGraph,,,,Frankfurt University of Applied Sciences,NoSQL,Automotive,Security,Aeromodeling,Astronomy,Rafting
Qiana Parrett,Mercedes,Tesla,,,Hochschule der Bundesagentur für Arbeit,Cloud,,,Darts,Parachuting,Skateboarding
Suzy Codispoti,Seat,Opel,TigerGraph,Tesla,Zeppelin University,Analytics,TigerGraph,NoSQL,Motorcycles,,
Lauren Nii,Lexus,,,,Technische Hochschule Mittelhessen,AI,,,Tennis,Dancing,
Cinda Abrego,Opel,Microsoft,,,Universität Leipzig,Airline,TigerGraph,Automotive,Baseball,Snowboarding,Badminton
Eileen Jens,Lexus,,,,Universität Regensburg,Kubernetes,TigerGraph,AI,Meditation,,
Sheryl Degregorio,Seat,Lexus,BMW,,Universität Erfurt,Analytics,,,Skateboarding,Robotics,Calligraphy
Doyle Iseley,Seat,Volkswagen,Opel,Microsoft,Universität Ulm,Graph Databases,Automotive,,Paragliding,Fishing,
Earleen Fuschetto,Toyota,TigerGraph,BMW,Mercedes,Technische Universität Berlin,Industry trends,Airline,Cloud,Bicycling,Skateboarding,
Dewayne Okoren,Lexus,Microsoft,Mercedes,,Universität Erfurt,Industry trends,Retail,,Train Spotting,Calligraphy,
Dixie Milas,BMW,,,,Johannes Gutenberg-Universität Mainz,TigerGraph,,,Parachuting,Bicycling,Astronomy
Isidra Acheampong,Toyota,Audi,Volkswagen,Tesla,Johannes Gutenberg-Universität Mainz,Analytics,TigerGraph,,Motorcycles,Baseball,
Alleen Greenstein,Mercedes,,,,Universität der Bundeswehr München,Security,,,Paragliding,,
Tanja Dhein,Toyota,Volkswagen,Porsche,Mercedes,Hochschule für angewandte Wissenschaften München,Cloud,Industry trends,Analytics,Reading,,
Ivonne Ducasse,TigerGraph,,,,Technische Universität Darmstadt,Analytics,Automotive,,Snowboarding,Cooking,
Evelina Demartini,BMW,Lexus,TigerGraph,Skoda,Technische Universität Darmstadt,NoSQL,AI,Automotive,Bowling,Kayaking,Badminton
Katy Munch,Toyota,Volkswagen,Mercedes,,Universität Ulm,Analytics,Airline,Automotive,Baseball,Parachuting,
Jesenia Veasman,Toyota,Skoda,,,Universität Leipzig,AI,Airline,Automotive,Cooking,Horse riding,
Zoraida Perot,TigerGraph,Microsoft,,,Technische Universität München,GSQL,,,Darts,,
Lakesha Thiemann,Seat,Porsche,BMW,Tesla,Brand Academy - Hochschule für Design und Kommunikation,Security,,,Meditation,Painting,Hunting
Winford Oser,Mercedes,Skoda,Microsoft,,Hochschule Macromedia,Retail,,,Train Spotting,Football,Fencing
Carman Cayouette,Toyota,Audi,Skoda,Microsoft,Technische Hochschule Mittelhessen,AI,Future trends,,Football,Robotics,
Elwood Planer,Microsoft,,,,Fachhochschule Dortmund,Graph Databases,Industry trends,Kubernetes,Motorcycles,Golf,Horse riding
